price,bedrooms,bathrooms,sqft_living,sqft_lot
313000,3,1.5,1340,7912
2384000,5,2.5,3650,9050
342000,3,2,1930,11947
420000,3,2.25,2000,8030
550000,4,2.5,1940,10500
490000,2,1,880,6380
335000,2,2,1350,2560
482000,4,2.5,2710,35868
452500,3,2.5,2430,88426
640000,4,2,1520,6200
463000,3,1.75,1710,7320
1400000,4,2.5,2920,4000
588500,3,1.75,2330,14892
365000,3,1,1090,6435
1200000,5,2.75,2910,9480
242500,3,1.5,1200,9720
419000,3,1.5,1570,6700
367500,4,3,3110,7231
257950,3,1.75,1370,5858
275000,3,1.5,1180,10277
